experience,salary,age
7,637217,28
1,200000,21
7,617925,34
6,200000,28
1,200000,21
2,205757,20
17,1363567,38
11,831554,36
0,200000,21
11,653994,29
4,306038,26
16,1258748,36
15,932459,37
14,888836,33
14,865806,33
4,285238,23
20,1564007,43
13,934029,32
1,200000,20
10,404627,28
18,1201072,40
6,327892,27
5,372629,24
1,200000,19
5,341328,31
17,1320121,32
1,200000,23
17,1174567,41
14,759144,24
18,833060,41
1,200000,21
19,1398932,40
5,277285,25
0,200000,24
14,883619,36
9,406381,30
18,1599237,36
16,1394557,42
4,200000,25
3,200000,30
9,548786,35
16,1513477,31
9,616595,28
16,760989,33
19,1581399,39
4,206153,25
1,200000,22
5,292267,29
20,1231863,45
1,200000,24
12,1113839,31
10,508844,28
10,793911,31
15,885130,37
10,594749,30
18,1392471,34
14,764140,37
15,1155885,34
10,809517,29
15,952680,35
7,629343,27
3,200000,22
7,631267,24
3,200000,23
2,220991,25
2,200000,23
17,893611,40
18,1197178,36
18,977450,35
20,1516089,40
4,362059,23
17,936668,36
9,708218,30
20,940179,39
5,427471,22
0,200000,19
4,344570,26
8,545318,31
11,698199,33
13,1069142,35
1,200000,21
16,701722,38
13,909032,33
12,769872,33
8,626459,26
14,1209225,35
14,1091932,36
10,851785,32
15,1122236,32
16,1238702,37
3,204750,19
0,200000,21
7,507498,25
16,1198042,42
2,200000,23
19,1560544,42
14,830804,41
14,976146,32
13,1165797,35
13,724999,30
1,200000,23
12,905962,38
13,859893,32
18,1532932,36
6,408253,26
2,200000,29
14,964078,37
13,1123148,31
10,786305,35
14,468880,30
12,873438,39
17,1250119,40
5,348631,31
2,200000,18
18,1582523,39
14,1241247,34
4,200000,21
9,522275,26
6,406974,28
16,1347641,38
6,423136,30
11,657207,30
16,1290288,36
12,801959,28
19,1296540,44
3,208777,24
9,707531,32
2,200000,25
8,642433,33
12,826847,30
17,917910,40
14,972276,34
3,200000,30
14,988607,32
1,200000,25
14,754537,36
7,528248,28
7,402951,28
16,1168408,41
11,911933,32
18,685031,34
9,479545,33
8,515722,32
4,298902,26
5,337521,22
19,1316923,37
1,200000,16
12,621757,34
5,435161,21
4,259001,19
0,200000,24
20,2038683,43
20,1606603,40
5,377937,25
5,469934,18
15,1303079,38
3,200000,21
10,744178,31
8,353900,21
2,200000,25
18,1344794,36
7,426778,23
4,296402,23
3,209397,22
5,390231,29
1,200000,20
19,1062057,44
10,921719,31
3,200000,26
14,1118602,34
5,457643,29
16,1159040,33
5,285777,26
18,1211775,37
1,200000,26
14,1023311,39
10,519228,31
7,552647,24
18,1467773,40
12,776043,28
11,870690,36
4,294701,23
5,335192,25
3,200000,21
18,1551047,36
19,1546375,42
0,200000,20
19,1770189,40
16,1346846,33
11,883283,34
14,515222,37
0,200000,20
13,926200,37
5,373436,25
4,299159,27
10,816074,26
3,260497,25
12,954163,32
10,771292,31
2,200000,23
0,200000,21
5,328430,27
17,949894,36
9,793449,31
4,317142,28
9,568151,25
11,710976,29
1,200000,19
12,765871,29
7,338321,26
1,200000,25
19,1338278,44
0,200000,21
4,247738,24
8,596413,31
16,1296222,29
8,440794,25
10,697003,24
14,840030,31
5,470458,23
2,200000,27
16,881837,28
4,303153,23
11,946153,33
17,1406324,39
13,925904,38
20,1791967,41
10,564322,32
8,523628,23
1,200000,19
11,899111,26
2,200000,24
2,200000,24
0,200000,21
7,563316,25
7,394751,25
10,858498,31
8,614682,26
4,215097,21
13,651095,32
2,200000,21
20,1655028,38
4,332542,21
4,301370,26
18,1273142,43
13,1009788,33
3,200000,24
12,1143657,34
9,855981,31
17,1299347,35
7,510716,33
7,446800,25
6,467587,28
7,417411,29
13,476395,28
18,527191,37
5,290037,26
0,200000,21
14,1049714,35
0,200000,23
16,1154040,36
0,200000,22
14,770144,34
1,200000,18
13,1068526,34
20,1113781,43
7,389871,31
7,377728,29
18,737139,43
6,376781,28
18,1452803,41
5,363043,28
5,337306,25
2,200000,25
6,375991,24
18,734070,40
7,572290,29
9,774601,33
19,1122475,42
14,948324,38
14,930230,34
0,200000,19
19,1811619,39
6,524381,27
3,200000,18
5,390684,29
0,200000,21
4,304500,23
0,200000,13
3,230070,23
1,200000,21
9,554767,27
4,216157,22
9,671453,29
0,200000,19
5,288266,27
12,810447,30
14,1078699,35
3,296162,27
12,1022172,32
19,679017,41
14,1030254,35
7,640079,28
4,200000,24
14,1095827,33
3,200000,24
11,959797,31
12,912766,37
1,200000,24
18,1205770,34
18,1221742,34
3,204456,23
3,260366,22
10,573607,30
4,340183,26
19,1243858,40
10,733526,31
9,639770,34
7,487710,23
5,348979,26
5,459301,24
7,578457,32
14,903829,28
